The provided genome contains 5556 ORFs with an average length of 844 nucleotides.

Location  Strand    Length    
1361447   +         426       
1362834   +         765       
1363625   +         558       
1363903   -         339       
1364361   +         1584      
1365340   -         435       
1365946   +         1281      
1366119   -         372       
1366743   -         318       
1367233   -         402       
1367264   +         1266      
1368648   -         978       
1369043   +         312       
1369776   -         369       
1369793   +         669       
1370739   +         360       
1371403   +         315       
1371903   +         1707      
1373423   -         378       
1373623   +         1293      
1374936   +         882       
1375894   +         753       
1376677   +         1053      
1376742   -         753       
1377739   +         798       
1378273   -         447       
1378558   +         1044      
1378782   -         495       
1379667   +         2199      
1382535   +         969       
1383661   +         906       
1384098   -         318       
1384676   -         999       
1385831   +         1398      
1387390   +         897       
1388434   +         1542      
1390018   -         507       
1390644   +         966       
1391583   -         729       
1392646   -         933       
1393705   +         900       
1394920   +         1635      
1394955   -         477       
1396604   -         1032      
1397790   +         1017      
1398101   -         357       
1399385   -         951       
1400487   -         795       
1400506   +         456       
1400962   +         318       
1401434   -         516       
1401960   -         1533      
1402781   +         327       
1403523   -         984       
1404968   -         1326      
1406455   +         909       
1407693   +         564       
1408276   -         1293      
1409818   +         930       
1411300   +         1299      
1412726   -         936       
1413713   -         1236      
1413807   +         318       
1415697   -         699       
1416499   -         2601      
1417373   +         345       
1417756   +         321       
1419201   -         324       
1420262   +         612       
1421478   -         477       
1422398   +         423       
1422833   +         858       
1423260   -         438       
1423697   +         747       
1424466   +         561       
1425053   +         306       
1425496   +         1458      
1427335   +         360       
1428168   +         1029      
1429459   -         981       
1429808   +         357       
1430237   +         462       
1430763   +         3363      
1430985   -         1020      
1434137   +         564       
1434797   -         591       
1436860   +         303       
1436898   -         435       
1437473   -         1134      
1438026   +         306       
1438973   -         3525      
1439277   +         357       
1441713   +         489       
1442568   -         408       
1443034   -         423       
1443567   -         990       
1444765   +         2640      
1447288   -         414       
1447519   +         402       
1448091   -         906       
1449233   +         1500      
1449419   -         330       
1450789   -         2274      
1451087   +         525       
1452197   +         393       
1453310   -         2046      
1453380   +         378       
1455707   +         864       
1456213   -         339       
1456878   +         747       
1457633   +         504       
1457740   -         405       
1458144   +         1071      
1459304   +         675       
1459981   +         786       
1460768   +         1428      
1461480   -         393       
1462218   +         390       
1462814   +         999       
1463839   +         1314      
1465253   +         951       
1466374   +         402       
1467106   +         2559      
1468637   -         444       
1469634   -         792       
1470193   +         303       
1470497   -         366       
1471072   +         1152      
1472572   +         3156      
1472589   -         336       
1473837   -         495       
1475935   +         861       
1476548   -         309       
1476858   +         2307      
1479335   +         606       
1480090   +         747       
1480388   -         318       
1480852   +         1758      
1482890   +         1026      
1483968   -         606       
1484775   +         3903      
1485716   -         693       
1488038   -         420       
1488949   +         801       
1489946   +         1440      
1490325   -         438       
1490770   -         318       
1491674   -         378       
1492580   +         567       
1494184   +         1641      
1495861   -         924       
1497002   +         1344      
1498570   +         1656      
1499094   -         372       
1500652   +         540       
1501182   -         981       
1502275   +         1005      
1503462   +         408       
1504171   +         669       
1505431   +         1149      
1506618   -         1269      
1507886   +         537       
1508524   -         741       
1508795   +         1662      
1509322   -         333       
1511201   +         438       
1511717   +         1407      
1513368   +         1146      
1513451   -         801       
1514531   +         1014      
1515545   +         942       
1516564   -         318       
1517292   +         1425      
1517378   -         303       
1519595   -         381       
1520041   -         519       
1520520   +         396       
1520738   -         372       
1520960   +         819       
1521976   +         666       
1522676   -         2103      
1525021   +         1062      
1526194   -         1545      
1527077   +         363       
1527961   +         618       
1529604   +         2049      
1529987   -         1062      
1532322   -         489       
1532564   +         483       
1533530   +         1137      
1534995   -         570       
1535738   +         846       
1536678   -         894       
1537650   -         555       
1538327   -         666       
1538802   +         414       
1539022   -         1521      
1540211   +         345       
1540563   -         3741      
1541884   +         348       
1542463   +         459       
1544041   +         417       
1544385   -         1389      
1546097   -         336       
1546471   -         957       
1548001   -         882       
1549115   +         588       
1549288   -         894       
1549751   +         2412      
1550527   -         1176      
1552138   -         723       
1552175   +         885       
1552967   -         675       
1553067   +         639       
1554111   -         363       
1554541   -         1041      
1554564   +         303       
1555685   -         1725      
1556095   +         417       
1558339   +         432       
1558358   -         330       
1558825   -         741       
1558876   +         333       
1559744   -         831       
1559943   +         318       
1560727   -         822       
1561620   -         615       
1562035   +         495       
1562644   -         1551      
1564208   -         582       
1565047   -         2424      
1567471   -         1383      
1569217   -         1320      
1570667   -         1536      
1571016   +         447       
1572358   -         1431      
1572365   +         579       
1574120   -         2796      
1575109   +         336       
1576960   -         2373      
1579370   -         1686      
1581346   -         1158      
1581512   +         327       
1582555   -         1683      
1582847   +         621       
1584639   -         762       
1585920   -         2280      
1588533   -         915       
1589506   -         504       
1590022   -         531       
1590566   -         1149      
1590990   +         315       
1592483   +         342       
1592567   -         1380      
1594378   -         1401      
1594640   +         501       
1595822   -         3978      
1595904   +         396       
1597035   +         426       
1600330   -         1593      
1602001   -         954       
1603204   +         1536      
1603466   -         432       
1604847   +         915       
1605845   +         909       
1606765   +         1023      
1607814   +         876       
1609060   +         759       
1609821   -         915       
1610540   +         321       
1610942   -         1113      
1612620   -         891       
1614038   -         915       
1615028   -         1413      
1616109   +         372       
1616518   +         882       
1616877   -         375       
1617477   +         1116      
1618742   +         1191      
1618959   -         423       
1619956   -         666       
1620891   +         378       
1621282   +         390       
1621951   -         921       
1623046   +         1188      
1623578   -         408       
1624673   -         891       
1625818   -         393       
1626603   -         324       
1626703   +         303       
1627048   -         2046      
1627289   +         405       
1628310   +         366       
1629231   +         747       
1630066   +         687       
1631166   -         1461      
1632715   -         1284      
1633374   +         330       
1635336   +         591       
1636023   -         564       
1636598   -         849       
1637461   +         720       
1637511   -         570       
1638746   +         426       
1640743   -         483       
1641237   -         417       
1641767   -         312       
1644202   -         753       
1644954   +         366       
1644968   -         927       
1645945   +         414       
1647611   +         306       
1648119   +         333       
1648200   -         315       
1649648   +         408       
1651123   -         336       
1651777   +         936       
1652010   -         312       
1652871   +         381       
1653628   +         795       
1654609   -         1020      
1655619   +         357       
1655640   -         1248      
1656211   +         324       
1657060   -         327       
1657522   +         342       
1657898   +         561       
1658460   -         747       
1659237   +         348       
1659783   +         2427      
1661920   -         378       
1662267   +         2427      
1664607   -         621       
1664704   +         618       
1665323   +         855       
1666211   +         624       
1666328   -         348       
1666993   +         1293      
1668237   -         696       
1669057   -         1062      
1670412   -         894       
1671515   +         1152      
1673063   +         336       
1673674   +         822       
1674849   -         366       
1675627   +         1035      
1676685   -         1389      
1677154   +         309       
1677463   +         480       
1678084   -         1548      
1680141   +         945       
1681271   +         1383      
1682309   -         351       
1682690   +         723       
1683408   -         336       
1683802   -         333       
1683873   +         720       
1684596   +         1302      
1685527   -         348       
1685973   +         930       
1686898   -         1404      
1688444   -         1647      
1689072   +         417       
1690290   +         1176      
1691566   +         1509      
1693299   -         1266      
1693890   +         312       
1694603   -         1299      
1695973   -         1812      
1696295   +         327       
1697210   +         462       
1698175   -         591       
1698986   -         453       
1699383   +         387       
1699865   -         1029      
1700865   +         1797      
1701013   -         363       
1701379   -         309       
1702671   +         1173      
1703947   +         1002      
1704447   -         306       
1704981   -         1056      
1706964   +         441       
1707481   +         582       
1708305   +         336       
1708705   +         2151      
1709652   -         1239      
1710856   +         1059      
1711918   +         621       
1712761   +         477       
1712825   -         711       
1713426   +         447       
1714612   +         1374      
1716091   +         606       
1716739   -         864       
1716986   +         381       
1717661   -         1287      
1718289   +         483       
1718993   +         522       
1719064   -         657       
1719779   -         330       
1720206   -         1110      
1721590   +         468       
1722103   -         441       
1722978   +         858       
1723004   -         303       
1723925   +         1923      
1725027   -         333       
1725847   -         573       
1726449   -         897       
1727053   +         354       
1727394   -         378       
1727737   +         600       
1728373   +         1098      
1729551   +         408       
1730061   +         648       
1730434   -         312       
1730801   +         4617      
1731273   -         414       
1734796   -         330       
1735467   -         348       
1736218   +         747       
1737092   +         582       
1737834   -         1170      
1739558   +         1026      
1739683   -         840       
1740579   -         933       
1741625   +         1212      
1743127   +         1149      
1743618   -         441       
1744314   -         642       
1745252   +         1293      
1745392   -         324       
1746584   -         1257      
1747609   +         348       
1748414   +         306       
1748845   +         1605      
1750460   -         813       
1750743   +         666       
1751276   -         669       
1752058   -         720       
1752790   -         648       
1753441   -         2103      
1755564   -         627       
1757196   +         1629      
1757468   -         1164      
1759434   -         1005      
1760587   -         417       
1761016   -         1017      
1761305   +         753       
1762233   -         810       
1763479   -         747       
1764235   -         1488      
1765731   -         369       
1766935   -         369       
1767342   -         3057      
1768818   +         336       
1769351   +         315       
1770788   +         1113      
1770879   -         324       
1771593   -         315       
1772329   +         357       
1772785   +         1215      
1774226   +         1266      
1775503   +         867       
1776059   -         396       
1776400   +         759       
1777301   +         1596      
1777672   -         336       
1778064   -         303       
1778907   +         1155      
1779299   -         534       
1780103   -         912       
1781310   +         786       
1781663   -         411       
1782115   +         939       
1782792   -         450       
1783109   +         1290      
1783345   -         600       
1784691   +         1701      
1786447   -         2379      
1788341   +         468       
1789159   +         834       
1790009   -         306       
1790026   +         1170      
1791521   -         1437      
1793020   -         714       
1793980   -         465       
1794522   -         738       
1795271   -         552       
1795885   -         981       
1796484   +         441       
1797270   -         2388      
1798084   +         354       
1798600   +         552       
1799672   -         996       
1799829   +         717       
1801106   -         357       
1801809   -         342       
1802355   -         1929      
1804808   +         474       
1805538   +         1170      
1807038   -         759       
1808081   +         933       
1808148   -         426       
1808596   -         426       
1809510   +         861       
1810410   -         537       
1811094   +         669       
1811925   +         591       
1812648   +         1392      
1813672   -         327       
1814042   -         816       
1815581   +         2262      
1816480   -         447       
1817121   -         315       
1818099   -         750       
1818861   -         1353      
1819093   +         384       
1820318   -         843       
1821168   -         351       
1821569   -         1359      
1823012   -         321       
1823631   -         339       
1824172   +         828       
1825367   +         750       
1826075   -         576       
1826421   +         303       
1826853   -         486       
1827668   -         786       
1828629   -         1200      
1829969   -         1179      
1831444   -         990       
1832475   -         1221      
1834130   +         819       
1834432   -         312       
1835115   +         711       
1835830   +         678       
1835880   -         315       
1836522   +         708       
1837364   +         414       
1837784   +         1170      
1838971   +         1491      
1840557   +         558       
1841166   +         1323      
1841810   -         432       
1843204   +         408       
1844085   +         1344      
1845544   -         1041      
1845562   +         345       
1846712   -         1962      
1847994   +         459       
1848631   +         519       
1848678   -         1050      
1849457   +         315       
1849838   -         552       
1850551   +         1857      
1850835   -         318       
1851342   -         561       
1852574   +         1017      
1853601   +         642       
1854334   -         1359      
1855809   -         723       
1856704   -         981       
1857537   +         534       
1857694   -         948       
1858646   -         837       
1859503   -         1044      
1860563   -         1380      
1860985   +         315       
1861757   +         348       
1861969   -         1077      
1862147   +         921       
1863729   -         414       
1864485   +         996       
1864672   -         318       
1865543   +         906       
1866495   -         855       
1867410   +         543       
1867439   -         453       
1868622   +         1935      
1870669   +         1284      
1872099   +         1476      
1873195   -         306       
1873668   +         1578      
1873730   -         306       
1875288   +         504       
1876066   +         447       
1876468   -         822       
1877387   +         1182      
1878623   +         348       
1879513   +         942       
1881135   +         492       
1881302   -         360       
1881834   -         522       
1882599   -         924       
1883626   +         1086      
1883703   -         381       
1884207   -         384       
1884917   +         1431      
1885212   -         384       
1886379   +         1125      
1886405   -         345       
1887559   +         966       
1888577   -         1116      
1889774   -         1752      
1891664   -         582       
1891803   +         324       
1892285   -         696       
1893038   -         1833      
1893226   +         444       
1894981   -         363       
1895078   +         348       
1895787   +         360       
1896519   +         1362      
1898664   +         1347      
1898798   -         480       
1900141   +         1599      
1901742   -         1557      
1901827   +         489       
1903828   +         906       
1904796   +         801       
1905609   +         852       
1906114   -         306       
1906515   +         459       
1907348   +         621       
1907388   -         543       
1907964   -         810       
1908649   +         543       
1911021   -         792       
1911137   +         315       
1911990   +         1374      
1913408   -         882       
1913619   +         498       
1914481   -         2049      
1916549   -         699       
1917344   -         552       
1917972   +         1284      
1919317   +         2541      
1921661   -         351       
1921931   +         1446      
1924026   -         657       
1925078   -         342       
1925167   +         405       
1925432   -         873       
1926308   -         375       
1926735   +         318       
1927154   +         657       
1927834   +         663       
1928492   -         2061      
1929714   +         657       
1930639   +         603       
1930761   -         660       
1931747   -         369       
1932595   +         1179      
1933828   -         642       
1934506   -         1812      
1935218   +         474       
1936552   -         1476      
1936838   +         960       
1938366   +         870       
1939363   +         1443      
1940935   -         972       
1941353   +         357       
1942026   -         1260      
1943364   -         987       
1944376   +         756       
1945167   +         747       
1946035   +         441       
1946059   -         1011      
1947078   -         525       
1948568   -         522       
1949124   -         741       
1949164   +         720       
1949893   -         510       
1950463   -         1773      
1950495   +         303       
1950890   +         1179      
1952546   +         567       
1953370   +         558       
1953980   +         396       
1954416   +         744       
1955196   -         336       
1955402   +         726       
1956291   -         2430      
1958522   +         354       
1958745   -         1101      
1960233   -         747       
1960993   -         567       
1961818   +         1692      
1961946   -         1380      
1964293   -         333       
1964685   -         2061      
1965049   +         309       
1966478   +         765       
1966756   -         975       
1968041   +         444       
1968106   -         645       
1968761   -         390       
1969165   -         1050      
1970217   -         861       
1970503   +         537       
1971096   -         1602      
1971136   +         306       
1972743   -         1662      
1973003   +         579       
1974549   -         504       
1975073   -         1959      
1977005   +         366       
1977042   -         828       
1977965   -         831       
1978979   -         579       
1979560   -         351       
1980354   -         1017      
1980703   +         357       
1981890   +         429       
1982324   -         390       
1982814   +         516       
1983723   -         858       
1984690   -         990       
1985232   +         378       
1985691   -         1560      
1987275   -         1041      
1987976   +         348       
1989062   +         504       
1989135   -         336       
1989581   +         339       
1990359   +         324       
1990853   +         498       
1991878   +         1152      
1993090   -         666       
1994405   -         549       
1995010   -         1767      
1996839   -         501       
1997216   +         468       
1998246   -         723       
1999947   -         669       
2000630   -         1083      
2001715   +         387       
2001721   -         801       
2002609   -         588       
2003206   -         690       
2004246   -         1497      
2006009   +         1407      
2007440   +         411       
2007910   +         306       
2008293   +         1488      
2008481   -         306       
2008871   -         312       
2009813   -         417       
2010414   +         1206      
2011958   +         669       
2012089   -         348       
2012737   +         480       
2014137   -         351       
2014836   -         315       
2015366   +         1659      
2015515   -         309       
2017059   +         954       
2017701   -         588       
2018149   +         543       
2018745   +         1320      
2020083   +         444       
2020341   -         444       
2020832   +         819       
2021755   +         465       
2022205   -         336       
2022224   +         1005      
2023234   +         405       
2023641   +         366       
2024183   +         561       
2024821   -         594       
2025030   +         786       
2026105   +         624       
2026611   -         315       
2027648   +         816       
2027715   -         309       
2028459   -         1677      
2030585   -         918       
2031022   +         504       
2031676   +         921       
2032584   -         432       
2033035   -         1419      
2033438   +         507       
2034520   -         696       
2035255   -         303       
2036158   +         516       
2036991   +         390       
2037972   +         852       
2038034   -         402       
2038930   -         1146      
2040288   -         783       
2041093   +         414       
2041615   +         1005      
2041689   -         309       
2042620   +         636       
2043830   +         333       
2044505   +         531       
2045788   +         798       
2047048   +         7104      
2050107   -         327       
2052011   -         312       
2054760   -         705       
2055780   +         1317      
2056748   -         366       
2057165   +         1488      
2059271   +         441       
2060339   -         1488      
2062100   -         879       
2063152   -         918       
2064527   -         936       
2064711   +         570       
2065524   -         1080      
2066615   -         723       
2067355   -         546       
2068441   -         1017      
2070760   +         405       
2071088   -         792       
2071647   +         303       
2071951   -         366       
2072733   -         402       
2072968   +         381       
2073520   +         3276      
2074062   -         345       
2075157   -         924       
2076916   +         1533      
2078381   -         498       
2078565   +         327       
2079706   +         375       
2080712   +         357       
2081168   -         396       
2081669   -         906       
2082925   -         474       
2083517   -         1044      
2084893   +         1428      
2086421   +         384       
2086603   -         1059      
2087840   -         1365      
2089465   -         951       
2090440   -         825       
2092329   +         900       
2093234   +         1305      
2094868   +         738       
2095758   +         915       
2096831   +         432       
2097592   +         408       
2098751   +         612       
2099457   -         1017      
2100583   -         1167      
2101998   -         1407      
2102017   +         1044      
2104031   -         1017      
2104380   +         357       
2105052   -         474       
2105527   -         1119      
2107201   -         993       
2108196   -         843       
2109362   -         1104      
2110473   -         1248      
2111785   -         324       
2112274   -         882       
2113213   -         561       
2114112   -         894       
2115570   -         894       
2116638   -         1395      
2118027   +         414       
2118043   -         1140      
2119017   +         315       
2119260   -         1281      
2119474   +         723       
2120816   -         1479      
2121109   +         330       
2122231   +         552       
2122296   -         1395      
2123745   -         1371      
2123929   +         528       
2125220   -         1437      
2125332   +         471       
2126659   -         1155      
2127248   +         597       
2127879   -         480       
2128361   -         966       
2128455   +         396       
2129329   -         1122      
2129573   +         588       
2130476   -         549       
2131040   -         747       
2131797   -         1053      
2132989   -         1035      
2134203   -         489       
2134694   -         840       
2135208   +         306       
2135626   -         2163      
2135816   +         366       
2137680   +         354       
2137791   -         444       
2138240   -         1140      
2138250   +         489       
2140039   +         1584      
2140605   -         432       
2141895   -         1854      
2143770   -         582       
2144443   -         642       
2144846   +         309       
2145403   +         3318      
2145572   -         324       
2145941   -         351       
2146673   -         336       
2148828   -         849       
2149859   +         1305      
2151175   -         1947      
2153322   +         462       
2153847   -         681       
2154605   -         660       
2154967   +         354       
2156033   +         1368      
2156530   -         318       
2157451   +         3072      
2160613   +         2988      
2161262   -         489       
2163140   -         612       
2163601   +         1416      
2165091   +         1326      
2166599   +         537       
2167287   +         372       
2167762   -         1068      
2167805   +         1362      
2170125   -         378       
2170849   +         900       
2171829   -         447       
2172669   +         867       
2173531   -         339       
2173969   -         1041      
2175057   -         1356      
2176731   -         321       
2177015   +         1017      
2177326   -         357       
2178068   -         315       
2178392   -         1263      
2179683   -         861       
2180845   -         1125      
2182155   +         1278      
2183483   +         951       
2183583   -         468       
2184487   +         909       
2185368   -         747       
2186166   -         828       
2187049   -         330       
2187444   -         309       
2187846   -         789       
2189251   +         825       
2190114   +         519       
2190713   -         1035      
2191763   -         2481      
2194259   -         720       
2195013   -         543       
2196392   -         1140      
2196585   +         309       
2197625   +         2043      
2197951   -         732       
2199808   +         825       
2201078   -         324       
2201089   +         1593      
2202257   -         354       
2202911   +         693       
2203224   -         390       
2203613   +         3633      
2205438   -         384       
2207306   +         318       
2207864   +         1155      
2207946   -         306       
2208498   -         402       
2209029   +         2280      
2211631   +         807       
2212662   +         1617      
2214547   +         474       
2215059   -         471       
2215576   -         552       
2216118   +         390       
2216292   -         1686      
2217178   +         447       
2218200   +         732       
2219078   -         732       
2219652   +         519       
2219814   -         792       
2220733   -         1008      
2220986   +         333       
2221455   +         321       
2221897   -         918       
2223025   -         2370      
2223488   +         624       
2224229   +         552       
2225519   +         1716      
2227271   -         942       
2228377   -         612       
2229099   +         615       
2229344   -         375       
2229765   +         354       
2229842   -         762       
2230656   -         1197      
2231450   +         345       
2232771   -         948       
2233958   +         399       
2234464   +         585       
2235178   +         885       
2236212   +         720       
2237367   +         1239      
2238601   -         741       
2238692   +         1143      
2240076   -         1011      
2241102   -         1521      
2241617   +         333       
2242176   +         330       
2242683   -         999       
2243158   +         480       
2243961   -         1041      
2245143   -         1158      
2246317   -         669       
2247244   +         837       
2248111   -         1992      
2249573   +         462       
2250396   -         1470      
2250695   +         417       
2252070   -         882       
2253051   +         1050      
2253290   -         408       
2254134   -         378       
2254174   +         858       
2255034   +         1089      
2256228   -         1251      
2256590   +         318       
2257578   -         942       
2258689   +         660       
2259418   -         1251      
2260685   +         465       
2260762   -         825       
2261688   -         942       
2263052   -         1692      
2264760   -         540       
2265698   -         1131      
2267081   -         303       
2267197   +         1182      
2268374   -         387       
2268529   +         828       
2269579   +         1467      
2271352   +         798       
2272188   +         714       
2273313   +         567       
2274060   +         1557      
2275698   +         1815      
2277513   +         1095      
2279051   +         582       
2279634   +         1590      
2281903   -         1134      
2281944   +         393       
2282603   +         306       
2283121   -         366       
2283437   +         504       
2283543   -         384       
2283966   +         1761      
2285835   -         414       
2286273   -         1008      
2287710   +         1761      
2288786   -         327       
2289723   -         2334      
2290156   +         471       
2292398   -         1017      
2292747   +         357       
2293804   +         678       
2294237   -         390       
2294691   -         1053      
2296177   +         315       
2296294   -         1842      
2296947   +         600       
2298234   -         480       
2298792   +         312       
2298916   -         738       
2299133   +         306       
2299695   -         417       
2300030   +         384       
2300354   -         618       
2300990   -         603       
2301045   +         579       
2301602   -         405       
2301846   +         369       
2302048   -         753       
2302898   -         696       
2303600   -         2487      
2303987   +         396       
2305347   +         774       
2306362   -         336       
2307218   +         510       
2308441   -         1647      
2310305   -         1644      
2310642   +         492       
2312024   -         507       
2312674   -         1065      
2313812   -         1056      
2314979   -         1104      
2316822   +         2673      
2319511   +         651       
2320360   -         378       
2320804   -         792       
2321363   +         303       
2321667   -         366       
2322074   -         2424      
2322180   +         342       
2324713   +         1827      
2325417   -         357       
2326590   +         1332      
2328049   -         330       
2328117   +         663       
2328866   +         564       
2329325   -         303       
2329450   +         1299      
2330779   +         1185      
2331611   -         306       
2332036   -         777       
2332817   -         1092      
2333281   +         327       
2334467   -         486       
2334591   +         408       
2334968   -         3852      
2339005   -         564       
2339625   -         1689      
2341030   +         306       
2341462   -         2628      
2342324   +         621       
2342957   +         972       
2344189   +         771       
2345086   -         3753      
2349444   -         444       
2349535   +         2286      
2350056   -         1266      
2351835   +         1350      
2352395   -         402       
2353491   -         651       
2353576   +         558       
2354604   -         1077      
2354749   +         462       
2355442   +         321       
2355685   -         1359      
2357317   +         1629      
2357337   -         708       
2358690   -         333       
2358956   +         1239      
2359383   -         318       
2360157   -         324       
2360491   +         891       
2361574   +         900       
2362711   -         804       
2363532   -         1290      
2363603   +         330       
2364878   -         1218      
2366098   -         783       
2367100   -         1203      
2368385   +         339       
2368402   -         543       
2369287   +         363       
2370580   +         1158      
2371741   +         969       
2372022   -         324       
2372669   -         351       
2372739   +         1953      
2374820   +         759       
2375701   +         1530      
2376909   -         333       
2377562   +         387       
2378317   -         1191      
2379669   -         927       
2379776   +         315       
2380631   -         858       
2381178   +         477       
2381503   -         483       
2382258   -         1671      
2382803   +         651       
2384017   -         669       
2385391   -         306       
2385751   -         462       
2386278   +         918       
2387383   +         1212      
2388664   -         1728      
2389058   +         333       
2390530   +         972       
2391604   +         504       
2392379   -         717       
2393251   +         477       
2393783   +         852       
2394717   -         1458      
2396181   -         1530      
2396611   +         435       
2397874   -         1842      
2398005   +         357       
2398646   +         1056      
2400011   -         555       
2400577   -         543       
2401134   -         885       
2402108   -         2733      
2403555   +         1284      
2404887   -         1113      
2405233   +         438       
2405710   +         567       
2406221   -         501       
2406724   -         1803      
2406824   +         1434      
2408620   -         663       
2409298   -         444       
2410243   +         453       
2410372   -         939       
2411472   -         504       
2413007   +         1218      
2413033   -         408       
2414308   +         600       
2414965   -         1758      
2416353   +         462       
2416884   -         486       
2417545   -         495       
2417585   +         333       
2418122   -         456       
2418916   +         1203      
2419083   -         906       
2420120   -         2229      
2420208   +         2130      
2422527   +         1521      
2422756   -         303       
2423176   -         525       
2424079   -         543       
2424679   -         552       
2425286   -         645       
2426067   +         648       
2426771   +         363       
2427154   +         894       
2427513   -         366       
2428094   -         891       
2429181   -         774       
2429962   -         474       
2430675   -         687       
2431274   +         342       
2431451   -         783       
2432454   -         783       
2433502   -         570       
2434166   -         1518      
2435720   -         489       
2436467   -         501       
2437119   -         1269      
2437157   +         510       
2437870   +         531       
2438457   -         999       
2438555   +         666       
2439527   -         660       
2440269   -         372       
2440477   +         336       
2441081   -         1014      
2442160   -         1113      
2443396   +         996       
2444387   -         1179      
2445830   -         1221      
2446194   +         768       
2447606   +         1611      
2448511   -         417       
2449781   +         420       
2450196   -         786       
2450888   +         399       
2451005   -         825       
2451501   +         387       
2451833   -         1086      
2452006   +         558       
2452602   +         393       
2452953   -         1266      
2453083   +         396       
2453482   +         456       
2454052   +         552       
2454673   -         822       
2455496   -         540       
2456517   -         498       
2457029   -         753       
2457801   -         897       
2458492   +         744       
2458710   -         1737      
2459296   +         396       
2460436   +         537       
2460528   -         564       
2461772   -         486       
2462460   -         2139      
2464279   +         315       
2464604   -         1311      
2466746   +         1347      
2468458   +         1059      
2469697   -         756       
2470747   +         933       
2471991   +         1158      
2473301   +         363       
2474002   +         579       
2474649   +         1260      
2476249   +         303       
2476522   -         441       
2476989   -         693       
2477832   -         489       
2479032   +         381       
2479478   +         825       
2480430   +         537       
2480978   +         342       
2482139   -         936       
2483293   +         1338      
2484131   -         303       
2484648   +         1329      
2485166   -         375       
2486083   -         1455      
2486796   +         339       
2487621   -         1056      
2489201   +         615       
2489820   +         3594      
2493468   -         1146      
2494687   -         945       
2495701   -         1695      
2497449   -         1251      
2497735   +         333       
2499039   +         552       
2499212   -         636       
2501091   +         921       
2502502   -         1239      
2502629   +         441       
2503860   +         309       
2504351   +         1464      
2504412   -         420       
2505337   -         354       
2505904   +         660       
2506576   +         858       
2507435   -         2496      
2509191   +         342       
2509955   -         867       
2510614   +         396       
2510992   -         1086      
2511182   +         789       
2512092   -         1248      
2512847   +         303       
2513361   -         327       
2513906   -         966       
2513937   +         693       
2515076   +         1257      
2516447   +         327       
2516913   -         1239      
2518488   +         1203      
2519777   +         1113      
2521088   -         2250      
2523898   +         360       
2524259   +         393       
2524702   -         1416      
2525195   +         1059      
2527038   -         900       
2528174   -         1257      
2528178   +         345       
2528581   +         330       
2529490   -         834       
2529528   +         309       
2530573   +         765       
2531375   -         927       
2531787   +         495       
2532392   +         999       
2533606   -         2016      
2534216   +         303       
2535692   -         987       
2536218   +         327       
2536794   +         405       
2537293   +         378       
2537855   +         972       
2538172   -         357       
2539512   +         1728      
2541280   +         510       
2541831   -         852       
2542788   +         375       
2543195   +         735       
2544117   -         990       
2544142   +         342       
2544526   +         315       
2545162   -         1011      
2545712   +         471       
2546249   -         798       
2547124   -         726       
2547957   -         1017      
2549277   -         792       
2549483   +         429       
2550197   -         858       
2550372   +         477       
2551219   +         897       
2551535   -         486       
2552119   +         1425      
2553548   +         1305      
2555077   +         927       
2555091   -         900       
2556086   -         576       
2556192   +         327       
2557158   -         426       
2557798   +         870       
2558559   -         342       
2558671   +         900       
2559575   -         1053      
2560673   -         501       
2561186   -         660       
2561855   -         888       
2562763   -         1362      
2564136   -         1083      
2564332   +         498       
2564962   +         369       
2565536   -         1227      
2565658   +         651       
2566829   +         333       
2566979   -         1026      
2567455   +         531       
2568098   +         318       
2568156   -         837       
2568536   +         309       
2569003   -         1404      
2569011   +         636       
2571144   -         834       
2571587   +         333       
2572157   -         501       
2572404   +         531       
2572957   -         642       
2573099   +         444       
2573633   -         480       
2574125   -         336       
2574753   -         2280      
2575345   +         597       
2575966   +         408       
2576392   +         408       
2577322   +         951       
2578045   -         384       
2578292   +         2004      
2578510   -         732       
2580389   -         1044      
2581558   -         576       
2582201   -         1980      
2582256   +         555       
2583447   +         759       
2584537   +         1551      
2586251   +         3114      
2589903   +         357       
2590263   +         1128      
2591727   -         723       
2592499   -         2016      
2592691   +         399       
2593716   +         780       
2594529   -         864       
2594878   +         306       
2595560   -         714       
2596486   -         1035      
2597537   -         879       
2598688   +         447       
2599257   +         348       
2599818   +         657       
2600702   +         1791      
2601501   -         405       
2602503   +         948       
2602828   -         552       
2603467   +         1440      
2604918   +         651       
2605573   +         1581      
2606387   -         414       
2607389   +         1422      
2607457   -         342       
2608820   +         546       
2608828   -         330       
2609425   +         696       
2610182   +         345       
2610556   +         2013      
2611142   -         453       
2612590   +         849       
2613475   -         1062      
2614750   +         1464      
2616234   +         360       
2616272   -         333       
2616730   -         426       
2617526   -         1290      
2618734   +         906       
2618901   -         627       
2619967   +         924       
2621118   +         411       
2621336   -         318       
2621700   +         2067      
2623771   +         1542      
2625350   -         2244      
2628451   +         516       
2628982   +         540       
2629613   -         1578      
2629627   +         366       
2630634   +         561       
2631259   -         1536      
2631639   +         333       
2632888   +         1371      
2634539   -         1500      
2636129   -         1179      
2636337   +         462       
2637142   +         468       
2637956   -         1245      
2638668   +         414       
2639294   +         498       
2639341   -         1119      
2639849   +         579       
2640486   -         1014      
2641784   -         1155      
