The provided genome contains 12300 ORFs with an average length of 360 nucleotides.

Location  Strand    Length    
1350490   +         312       
1350883   +         312       
1351201   -         318       
1351284   +         324       
1351777   -         306       
1352063   +         336       
1352620   -         399       
1352774   +         489       
1353376   -         303       
1353628   +         333       
1353953   -         411       
1354121   +         381       
1354692   +         339       
1355073   -         306       
1355336   +         303       
1355684   -         348       
1355694   +         330       
1356363   -         312       
1356674   +         330       
1356870   -         330       
1357294   +         465       
1357532   -         495       
1357921   +         336       
1358474   -         402       
1358908   +         330       
1359593   +         501       
1359601   -         306       
1360353   +         489       
1360617   -         432       
1361032   +         312       
1361485   +         336       
1361912   +         393       
1362242   -         534       
1362695   +         306       
1363122   +         477       
1363564   -         357       
1364051   -         333       
1364279   +         390       
1364519   -         381       
1365180   -         504       
1365831   +         429       
1366119   -         366       
1366813   -         471       
1367182   +         330       
1368214   -         408       
1368552   +         312       
1368883   -         309       
1369070   +         321       
1369336   -         330       
1369555   +         363       
1369835   -         372       
1370002   +         318       
1370253   -         336       
1370768   +         312       
1371071   -         333       
1371195   +         384       
1371605   +         414       
1371618   -         360       
1372216   +         315       
1372297   -         360       
1372701   -         327       
1373086   -         324       
1373664   +         315       
1373719   -         315       
1374033   +         327       
1374778   -         306       
1374893   +         459       
1375581   -         360       
1375635   +         360       
1376242   -         327       
1376742   -         513       
1376991   +         309       
1377903   -         306       
1377939   +         324       
1378442   -         303       
1378786   -         522       
1379165   +         345       
1379482   -         348       
1380211   -         303       
1380428   +         363       
1380630   -         414       
1381154   -         378       
1381157   +         351       
1381632   -         330       
1381858   +         435       
1382233   -         303       
1382414   +         330       
1383303   -         330       
1383588   +         309       
1384098   -         318       
1384258   +         309       
1384656   -         363       
1385037   -         303       
1385270   +         327       
1385400   -         312       
1385791   +         351       
1386069   -         336       
1386340   +         309       
1386462   -         399       
1387151   +         348       
1387236   -         390       
1387602   +         342       
1387935   -         735       
1388286   +         381       
1389176   -         309       
1389697   -         315       
1389944   +         393       
1390018   -         507       
1390597   -         384       
1390775   +         330       
1391289   -         345       
1391698   +         327       
1392224   -         306       
1392276   +         303       
1392863   +         459       
1393357   +         306       
1393481   -         312       
1393692   +         378       
1394359   +         351       
1394569   -         312       
1394865   +         342       
1394955   -         477       
1395336   +         306       
1395484   -         393       
1396112   -         309       
1396188   +         315       
1396596   +         315       
1396997   +         306       
1397610   -         315       
1397924   +         345       
1398261   -         399       
1398914   -         315       
1399021   +         327       
1399277   -         336       
1399499   +         309       
1399620   -         306       
1400554   -         324       
1400724   +         324       
1401453   -         408       
1401686   +         375       
1402203   +         321       
1402405   -         357       
1402728   +         321       
1403239   -         372       
1403486   +         396       
1403686   -         321       
1404373   +         336       
1404721   -         432       
1405232   +         345       
1405416   -         447       
1405813   +         327       
1406106   -         372       
1406211   +         357       
1406867   +         366       
1407138   -         309       
1407686   +         354       
1407834   -         309       
1408276   -         408       
1408279   +         318       
1408950   +         330       
1409726   -         357       
1410198   +         327       
1410268   -         555       
1411206   +         369       
1411276   -         477       
1412143   -         393       
1412407   +         363       
1412983   +         360       
1413328   -         402       
1413830   +         366       
1414394   +         321       
1414563   -         312       
1414862   +         366       
1415192   -         303       
1415259   +         309       
1415577   +         369       
1416152   +         312       
1416313   -         330       
1416819   -         381       
1416910   +         351       
1417358   -         312       
1417406   +         312       
1417924   +         312       
1418061   -         309       
1418246   +         378       
1418487   -         429       
1418847   +         303       
1419208   -         354       
1419476   +         348       
1419782   -         312       
1420059   +         315       
1420291   -         312       
1420512   +         321       
1420923   +         435       
1421353   -         429       
1421427   +         312       
1421972   +         360       
1422071   -         309       
1422398   +         423       
1422424   -         315       
1422980   +         711       
1423351   -         405       
1423906   +         303       
1424152   -         363       
1424564   -         390       
1424567   +         318       
1424953   +         312       
1425275   -         375       
1425387   +         321       
1425768   +         339       
1425986   -         375       
1426475   -         384       
1426988   +         351       
1427069   -         327       
1427404   +         393       
1427805   -         444       
1427862   +         303       
1428351   -         312       
1428729   -         345       
1428907   +         318       
1429074   -         330       
1429225   +         372       
1429422   -         312       
1429997   -         345       
1430455   +         306       
1430685   -         486       
1431259   -         1059      
1432301   +         330       
1432457   -         390       
1432850   -         348       
1433258   +         348       
1433368   -         309       
1433607   +         519       
1433746   -         303       
1434351   -         390       
1434570   +         324       
1434894   -         312       
1435091   +         303       
1435299   -         411       
1435546   +         333       
1436028   -         306       
1436450   -         402       
1436841   +         432       
1437145   -         366       
1437375   +         459       
1438023   -         306       
1438026   +         306       
1438530   -         354       
1438748   +         483       
1439199   -         324       
1439312   +         381       
1440083   +         309       
1440111   -         315       
1440543   -         303       
1440795   +         495       
1441452   -         357       
1441995   -         597       
1442047   +         384       
1442725   -         318       
1442732   +         315       
1443056   -         354       
1443067   +         318       
1443849   +         321       
1444096   -         318       
1444229   +         315       
1444454   -         312       
1444904   +         306       
1445318   -         414       
1445938   -         402       
1446924   -         348       
1447020   +         303       
1447500   +         312       
1447784   -         426       
1447880   +         306       
1448558   +         348       
1448566   -         375       
1449019   +         315       
1449090   -         333       
1449405   +         327       
1449631   -         321       
1449974   -         336       
1450147   +         426       
1450415   -         429       
1450843   +         318       
1451654   +         513       
1452510   +         309       
1452821   -         312       
1453145   +         330       
1453310   -         348       
1453546   +         315       
1453876   +         390       
1453911   -         375       
1454302   +         330       
1455135   +         309       
1455178   -         360       
1455586   +         381       
1456048   +         318       
1456265   -         303       
1456886   -         303       
1457183   +         357       
1457924   +         366       
1458545   -         318       
1459459   -         465       
1459462   +         465       
1460293   -         303       
1460515   +         318       
1460860   -         333       
1460868   +         348       
1461727   -         390       
1462022   +         345       
1462527   -         336       
1462966   -         306       
1463396   -         357       
1463919   +         444       
1463998   -         396       
1464403   -         324       
1464908   -         405       
1465213   +         330       
1465491   -         354       
1465579   +         399       
1466077   -         393       
1466943   +         324       
1467081   -         306       
1467315   +         321       
1467582   -         1197      
1468864   -         318       
1469270   -         399       
1470207   +         315       
1470908   -         303       
1471379   -         327       
1471521   +         336       
1472021   -         324       
1472094   +         309       
1472915   -         345       
1473837   -         372       
1474602   -         525       
1474617   +         345       
1475386   -         351       
1475736   +         330       
1475778   -         312       
1476155   -         339       
1476949   +         309       
1477085   -         330       
1477718   -         471       
1479102   -         324       
1479151   +         417       
1479724   -         324       
1479923   +         366       
1480449   -         306       
1480497   +         402       
1480789   -         309       
1481322   +         324       
1481350   -         315       
1481726   -         366       
1481763   +         327       
1482397   -         327       
1482586   +         345       
1482789   -         324       
1483148   -         309       
1483635   -         318       
1483900   +         663       
1484176   -         315       
1484573   +         315       
1484756   -         399       
1484896   +         318       
1485745   +         351       
1486080   -         315       
1486309   +         348       
1487003   -         330       
1487006   +         366       
1487417   -         411       
1487450   +         354       
1487878   -         429       
1488381   -         336       
1488547   +         393       
1488900   -         303       
1489110   +         405       
1489342   -         345       
1490097   +         354       
1490201   -         306       
1490770   -         318       
1491426   -         555       
1491581   +         393       
1492423   -         327       
1492495   +         342       
1492895   -         375       
1493126   +         396       
1493293   -         363       
1493728   +         393       
1493730   -         321       
1494141   +         354       
1494490   -         348       
1495570   -         303       
1495645   +         417       
1496134   +         327       
1496893   +         306       
1497014   -         318       
1498019   +         327       
1498422   +         360       
1498539   -         312       
1498961   -         327       
1499422   -         369       
1499838   -         450       
1500316   +         309       
1500595   -         405       
1500862   +         330       
1501182   -         573       
1501505   +         315       
1501842   +         324       
1502140   -         321       
1502790   -         315       
1503125   +         312       
1503457   +         318       
1503740   -         432       
1503866   +         411       
1504326   -         528       
1504899   -         309       
1504969   +         324       
1505522   -         330       
1505577   +         357       
1505858   -         309       
1506464   +         321       
1506525   -         306       
1506943   -         381       
1506952   +         432       
1507514   +         333       
1507927   -         309       
1508302   +         321       
1508747   -         345       
1509387   -         351       
1510014   -         336       
1510379   +         342       
1510793   -         345       
1510960   +         333       
1511496   -         333       
1512253   -         381       
1512652   +         351       
1512909   -         321       
1513159   +         381       
1513796   +         426       
1513959   -         327       
1514308   +         315       
1514926   -         390       
1515555   +         351       
1515728   -         330       
1516180   -         369       
1516397   +         453       
1517094   -         306       
1517486   +         321       
1517524   -         363       
1518521   +         318       
1519238   +         303       
1519416   -         471       
1519601   +         342       
1520092   +         390       
1520600   -         327       
1520662   +         345       
1521150   -         321       
1521298   +         324       
1521624   -         312       
1521894   +         387       
1522040   -         318       
1522369   -         345       
1522484   +         375       
1522797   -         324       
1523127   -         315       
1523294   +         429       
1523691   -         321       
1523814   +         309       
1524141   +         384       
1524282   -         534       
1524821   +         318       
1525357   -         399       
1525576   +         507       
1526213   -         306       
1526645   +         432       
1526757   -         306       
1527293   +         378       
1527446   -         369       
1527987   +         318       
1528295   -         360       
1528791   -         306       
1528820   +         426       
1529236   -         324       
1529289   +         309       
1529625   -         327       
1529987   -         423       
1530627   -         597       
1531145   +         309       
1531482   +         303       
1531807   -         309       
1531963   +         312       
1532381   -         312       
1532575   +         375       
1533059   +         324       
1533493   +         312       
1534382   -         330       
1534566   +         321       
1534894   -         312       
1534992   +         330       
1535533   +         321       
1535692   -         366       
1536091   +         324       
1536339   -         327       
1536870   +         387       
1537234   -         369       
1537281   +         408       
1537768   +         351       
1537873   -         306       
1538285   +         360       
1538529   -         333       
1539182   +         312       
1539533   -         309       
1540080   +         315       
1540118   -         333       
1540542   +         315       
1540678   -         345       
1541015   +         399       
1541290   -         396       
1541459   +         330       
1541808   +         357       
1542019   -         435       
1542781   -         321       
1543227   +         315       
1543658   -         384       
1543893   +         381       
1544053   -         318       
1544743   -         348       
1545016   +         351       
1545443   -         318       
1545851   -         366       
1546086   +         336       
1546471   -         483       
1546536   +         345       
1547171   -         315       
1547263   +         360       
1547804   -         384       
1548415   +         321       
1548757   +         318       
1549009   -         357       
1549311   +         333       
1550081   -         366       
1550166   +         312       
1550993   -         321       
1551412   +         309       
1551470   -         369       
1551758   +         405       
1552138   -         666       
1552344   +         360       
1553174   +         420       
1553259   -         312       
1553961   +         372       
1554379   +         384       
1554974   -         315       
1555623   +         324       
1555731   -         303       
1556130   -         333       
1556169   +         303       
1556895   -         309       
1557099   +         369       
1557457   -         315       
1557535   +         306       
1557911   +         315       
1558135   -         378       
1558533   -         615       
1559041   +         384       
1559696   -         348       
1559717   +         378       
1560221   +         348       
1560333   -         444       
1560696   +         366       
1560953   -         327       
1561087   +         423       
1562131   -         525       
1562396   +         453       
1562849   -         306       
1563687   +         315       
1563980   -         360       
1564401   +         363       
1564518   -         333       
1564850   +         306       
1565234   -         351       
1565690   +         339       
1566467   -         375       
1566637   +         318       
1566955   +         339       
1568055   -         303       
1568097   +         351       
1568630   -         303       
1568787   +         303       
1569107   -         363       
1570180   +         324       
1570310   -         378       
1570664   +         333       
1571219   +         315       
1571526   -         321       
1572142   +         351       
1572204   -         378       
1572932   -         414       
1573433   +         303       
1573775   +         312       
1573896   -         342       
1574101   +         336       
1574454   +         309       
1575002   +         321       
1575261   -         318       
1575663   -         339       
1575795   +         387       
1576089   -         303       
1576712   +         471       
1577317   +         336       
1577558   -         306       
1577938   +         306       
1577954   -         306       
1578311   +         396       
1578746   +         357       
1578998   -         303       
1579250   +         468       
1579912   +         309       
1580187   -         309       
1580560   -         315       
1580667   +         393       
1581547   +         336       
1581899   -         303       
1582234   +         351       
1582647   -         342       
1582879   +         315       
1583265   +         306       
1583282   -         315       
1583717   +         390       
1584011   -         309       
1584736   +         348       
1585349   +         351       
1585488   -         354       
1585822   +         474       
1585865   -         321       
1586467   -         381       
1587329   -         324       
1587652   +         366       
1587727   -         315       
1588041   +         324       
1588559   +         435       
1589021   +         303       
1589447   +         345       
1589818   +         471       
1589918   -         405       
1590537   +         429       
1591137   -         312       
1591428   +         312       
1591488   -         354       
1591875   +         333       
1591881   -         315       
1592461   +         324       
1592958   +         390       
1593219   -         324       
1593472   +         312       
1593627   -         306       
1593988   +         318       
1594043   -         321       
1594363   +         396       
1594813   +         348       
1595111   -         327       
1595297   +         558       
1595549   -         303       
1595904   +         396       
1597770   +         351       
1598324   +         303       
1598793   +         309       
1599206   +         318       
1599459   -         318       
1600171   -         333       
1601013   +         384       
1601333   -         324       
1601789   +         360       
1601880   -         327       
1602170   +         366       
1602464   -         498       
1603116   +         486       
1603909   -         342       
1603956   +         351       
1604923   +         306       
1604940   -         306       
1605308   -         516       
1605691   +         411       
1605913   -         393       
1606379   -         366       
1606393   +         321       
1607254   -         354       
1607720   +         309       
1608279   -         381       
1608661   +         312       
1608987   +         372       
1609086   -         318       
1609417   -         363       
1609578   +         330       
1609792   -         354       
1610427   +         345       
1610521   -         351       
1610878   +         321       
1611340   +         309       
1611477   -         321       
1611806   +         303       
1612279   -         309       
1612511   +         435       
1612633   -         351       
1613047   +         327       
1613782   -         330       
1613969   +         345       
1614729   +         348       
1614819   -         360       
1615257   -         360       
1615294   +         342       
1615969   +         345       
1616253   -         342       
1616445   +         303       
1617013   -         336       
1617461   -         375       
1617599   +         342       
1617882   -         354       
1618139   +         342       
1618357   -         327       
1618668   +         318       
1618777   -         309       
1619085   +         309       
1619614   -         399       
1619960   +         363       
1620323   -         447       
1620898   -         549       
1621163   +         315       
1621621   +         381       
1621714   -         303       
1622395   +         318       
1622450   -         357       
1622784   +         441       
1623651   -         369       
1623726   +         366       
1624313   -         399       
1624930   +         318       
1625367   -         309       
1625782   +         393       
1626220   -         330       
1626712   -         327       
1626922   +         405       
1627505   -         315       
1627698   +         381       
1627934   -         312       
1628245   +         336       
1628439   -         306       
1628837   -         348       
1629001   +         351       
1630035   +         312       
1630378   -         435       
1630801   +         312       
1630983   -         438       
1631150   +         399       
1631515   -         306       
1631756   +         306       
1632089   +         315       
1632791   -         330       
1633046   +         570       
1633305   -         342       
1633823   -         306       
1633933   +         471       
1634845   -         333       
1635014   +         411       
1635330   -         303       
1635518   +         312       
1635830   -         324       
1635983   +         390       
1636378   -         309       
1637086   +         306       
1637211   -         396       
1637615   +         348       
1637635   -         303       
1638050   +         405       
1638472   -         390       
1638761   +         411       
1639297   +         309       
1639662   -         342       
1639763   +         339       
1640494   +         381       
1640825   -         330       
1640933   +         363       
1641237   -         336       
1641629   +         396       
1642168   -         309       
1642322   +         315       
1642553   -         306       
1643046   +         315       
1643787   -         345       
1644202   -         537       
1644238   +         303       
1644611   +         330       
1644758   -         372       
1645049   +         528       
1645281   -         309       
1645801   -         369       
1645880   +         348       
1646266   -         393       
1646530   +         414       
1647050   +         555       
1647145   -         342       
1647935   +         378       
1648244   -         303       
1648628   +         321       
1648887   -         315       
1649223   +         309       
1650092   -         306       
1650134   +         450       
1650407   -         432       
1650635   +         306       
1651000   +         324       
1651202   -         318       
1651488   +         312       
1651581   -         351       
1653087   +         312       
1653546   -         417       
1654091   -         303       
1654411   +         318       
1654939   +         342       
1655333   -         330       
1655504   +         321       
1655773   -         342       
1656490   +         309       
1656565   -         306       
1656994   +         348       
1657013   -         321       
1657609   -         351       
1657666   +         309       
1657989   -         309       
1658086   +         453       
1658524   -         312       
1659242   +         312       
1659273   -         360       
1659656   -         333       
1659990   -         312       
1660510   -         345       
1660604   +         402       
1660989   -         318       
1661531   +         369       
1661934   -         306       
1662112   +         309       
1662788   -         456       
1663204   +         321       
1663670   +         327       
1664108   +         324       
1664122   -         306       
1664574   +         333       
1664623   -         303       
1665429   +         360       
1665536   -         312       
1666030   +         309       
1666231   -         369       
1666606   -         378       
1666710   +         426       
1667303   +         324       
1667504   -         417       
1668139   -         408       
1668159   +         330       
1668610   +         330       
1668775   -         324       
1669277   -         408       
1669886   +         444       
1670036   -         348       
1670562   +         330       
1671017   +         327       
1671070   -         324       
1671370   +         492       
1671971   -         306       
1672276   +         414       
1672311   -         309       
1673126   +         312       
1673213   -         306       
1673602   -         309       
1673877   +         339       
1673928   -         318       
1674495   +         498       
1674784   -         363       
1675652   +         321       
1675765   -         309       
1676346   -         393       
1676535   +         360       
1677154   +         309       
1677410   -         339       
1677612   +         408       
1678058   -         378       
1678075   +         315       
1679038   +         306       
1679680   -         318       
1679696   +         342       
1680041   +         324       
1680282   -         369       
1680794   -         336       
1680960   +         333       
1681534   +         414       
1681678   -         534       
1681956   +         324       
1682309   -         351       
1682758   +         369       
1683444   +         339       
1683449   -         327       
1683791   +         330       
1684029   -         399       
1684583   +         555       
1684680   -         507       
1685527   -         348       
1685864   +         420       
1685980   -         342       
1686395   +         369       
1686738   -         312       
1686889   +         375       
1687306   +         363       
1688258   -         306       
1688393   +         324       
1688851   +         327       
1688890   -         396       
1689199   +         306       
1689363   -         366       
1689910   +         342       
1689921   -         351       
1690553   +         315       
1690943   -         324       
1691085   +         381       
1691292   -         369       
1691631   +         306       
1692425   -         363       
1692891   -         339       
1692983   +         342       
1693606   -         420       
1693838   +         318       
1694059   -         336       
1694394   +         333       
1694812   -         387       
1695641   +         603       
1696011   -         360       
1696295   +         327       
1696837   +         315       
1697507   +         321       
1697693   -         360       
1698181   +         306       
1698614   +         369       
1698823   -         348       
1699407   -         312       
1699605   +         306       
1700312   +         387       
1700811   -         339       
1701583   +         309       
1702247   -         333       
1702709   +         327       
1703156   +         306       
1703540   -         408       
1703721   +         303       
1704526   -         459       
1704984   +         372       
1706021   +         324       
1706121   -         435       
1706479   +         357       
1706760   -         333       
1706964   +         441       
1707355   -         354       
1707808   -         315       
1707989   +         342       
1708392   -         303       
1708488   +         306       
1709098   -         333       
1709656   +         1200      
1710080   -         834       
1711137   +         327       
1711617   +         408       
1712458   -         375       
1712462   +         303       
1713230   +         309       
1713312   -         312       
1714060   +         375       
1714111   -         321       
1714575   +         303       
1714619   -         324       
1714899   +         369       
1716053   -         321       
1716378   +         387       
1717139   -         318       
1717547   -         312       
1717556   +         399       
1718289   +         483       
1718701   -         306       
1718793   +         429       
1719231   -         309       
1719686   +         363       
1719713   -         315       
1720081   +         309       
1720105   -         333       
1720805   +         312       
1721005   -         318       
1721568   +         375       
1721661   -         441       
1721962   +         309       
1722137   -         357       
1722355   +         351       
1722570   -         333       
1722913   +         321       
1723004   -         303       
1723368   +         468       
1723874   -         324       
1723894   +         354       
1724555   -         321       
1724977   +         312       
1725094   -         306       
1725495   -         375       
1725573   +         333       
1726178   +         324       
1726200   -         309       
1726584   +         336       
1726690   -         408       
1727060   +         312       
1727572   -         363       
1727679   +         441       
1728621   +         423       
1729047   +         303       
1729172   -         306       
1729626   +         333       
1729667   -         336       
1730406   -         324       
1730422   +         303       
1730757   -         306       
1730776   +         369       
1731273   -         357       
1731786   +         324       
1732228   -         492       
1732582   +         306       
1732751   -         411       
1733281   -         399       
1733290   +         324       
1733858   -         327       
1734300   -         312       
1734586   +         411       
1734796   -         330       
1735384   -         306       
1735754   +         309       
1736266   -         348       
1736884   -         303       
1736941   +         303       
1737192   -         393       
1738023   +         330       
1738627   -         417       
1738677   +         321       
1739137   +         303       
1739611   -         363       
1740302   -         387       
1740803   +         333       
1740949   -         318       
1741432   +         336       
1741645   -         447       
1741827   +         318       
1742416   +         363       
1742805   +         312       
1743090   -         306       
1743330   +         360       
1743618   -         306       
1744019   -         327       
1744119   +         384       
1744379   -         303       
1744885   +         306       
1745062   -         366       
1746099   +         342       
1746164   -         372       
1746488   +         330       
1746584   -         384       
1746859   +         315       
1747323   -         336       
1747840   +         345       
1748134   -         303       
1748468   +         315       
1748778   -         306       
1749180   -         306       
1749231   +         306       
1749549   -         330       
1750060   -         309       
1750752   -         351       
1751024   +         342       
1751307   -         396       
1752058   -         555       
1752107   +         351       
1752605   +         522       
1753031   -         336       
1753293   +         420       
1754087   -         330       
1754218   +         648       
1754774   -         357       
1755263   +         474       
1755536   -         318       
1755797   +         429       
1756177   -         321       
1756723   +         372       
1757201   -         321       
1757294   +         315       
1757791   +         369       
1758485   +         315       
1758631   -         336       
1759128   -         327       
1759313   +         339       
1759885   +         474       
1760192   -         354       
1760653   +         354       
1761080   -         345       
1761424   +         306       
1761891   +         399       
1761995   -         303       
1762535   +         384       
1763052   +         456       
1763449   -         303       
1763576   +         525       
1764412   +         339       
1764678   -         417       
1764778   +         312       
1765211   -         315       
1765290   +         375       
1765837   -         303       
1766284   +         357       
1766726   -         318       
1767288   +         348       
1767930   +         330       
1768207   -         345       
1768703   +         336       
1769621   +         363       
1770071   +         357       
1770127   -         462       
1770813   +         330       
1770943   -         321       
1771506   +         423       
1771681   -         309       
1772027   -         345       
1772633   -         309       
1772724   +         342       
1772976   -         366       
1773712   -         309       
1774020   +         366       
1774609   +         366       
1774677   -         312       
1775170   -         312       
1775430   +         309       
1775496   -         339       
1775845   -         303       
1776306   -         495       
1776537   +         303       
1776814   -         342       
1777012   +         318       
1777208   -         366       
1777576   +         306       
1777672   -         336       
1778167   -         303       
1778694   -         327       
1779182   +         309       
1779492   -         324       
1779815   +         357       
1779836   -         480       
1780577   +         360       
1780617   -         303       
1781157   -         360       
1781300   +         348       
1781663   -         411       
1782123   -         471       
1782264   +         321       
1782632   -         318       
1783231   +         324       
1783300   -         345       
1783712   -         363       
1783845   +         375       
1784370   +         303       
1784804   +         339       
1784963   -         411       
1785400   -         327       
1785710   +         303       
1785843   -         330       
1786172   +         303       
1786201   -         330       
1786537   +         363       
1787602   +         390       
1787840   -         315       
1788223   +         321       
1788518   -         351       
1789134   +         381       
1789525   -         480       
1789838   +         303       
1790492   -         312       
1791218   +         321       
1791271   -         306       
1791618   +         309       
1791930   -         333       
1792058   +         303       
1792693   +         309       
1792704   -         384       
1793129   -         396       
1793247   +         450       
1793733   +         360       
1794282   +         330       
1794505   -         375       
1795077   +         318       
1795509   +         381       
1795860   -         309       
1796081   +         312       
1796396   -         363       
1796413   +         324       
1796865   +         378       
1796887   -         315       
1797306   +         330       
1797461   -         303       
1797724   +         312       
1797862   -         468       
1798609   +         543       
1799311   -         318       
1799714   +         384       
1799749   -         486       
1800378   -         336       
1800648   +         303       
1801109   +         333       
1801197   -         372       
1801518   +         309       
1801613   -         432       
1801838   +         309       
1802542   -         312       
1802853   +         411       
1803324   +         375       
1803428   -         324       
1804033   -         390       
1804413   +         351       
1805285   +         444       
1805487   -         366       
1805776   +         312       
1806848   -         306       
1807043   +         336       
1807769   +         306       
1808063   -         357       
1808720   -         372       
1808906   +         333       
1809282   -         324       
1809819   -         528       
1810386   +         306       
1810783   +         312       
1811141   -         312       
1811952   -         360       
1812226   +         318       
1812602   +         336       
1812947   -         534       
1813535   +         366       
1813788   -         327       
1814183   +         324       
1814415   -         303       
1814606   +         357       
1814894   -         339       
1815221   +         303       
1815519   -         324       
1815987   -         378       
1816956   -         402       
1817776   -         306       
1817872   +         318       
1818283   -         315       
1818333   +         303       
1818949   -         303       
1819100   +         333       
1819483   -         303       
1819838   +         333       
1820137   -         357       
1820840   +         306       
1821214   -         309       
1821325   +         339       
1821704   +         324       
1821775   -         324       
1822284   +         360       
1822798   +         354       
1823360   -         336       
1823517   +         339       
1823740   -         351       
1824294   -         363       
1824625   +         375       
1824902   -         405       
1825519   -         306       
1825925   +         312       
1825970   -         357       
1826421   +         303       
1826553   -         321       
1827433   -         306       
1827649   +         429       
1827904   -         336       
1828141   +         546       
1828615   -         366       
1829024   +         327       
1829569   -         417       
1829625   +         333       
1830096   +         303       
1830099   -         351       
1830449   +         348       
1830513   -         387       
1830955   +         312       
1831014   -         351       
1831444   -         417       
1831447   +         363       
1831850   +         339       
1832249   -         309       
1832481   +         303       
1833189   +         441       
1833343   -         318       
1833721   -         333       
1833850   +         312       
1834457   -         318       
1834858   +         465       
1835012   -         444       
1835511   -         330       
1835853   +         327       
1836599   +         327       
1837008   -         312       
1837222   +         312       
1837343   -         342       
1838337   -         357       
1839589   -         315       
1839904   -         426       
1840043   +         369       
1840490   -         354       
1840643   +         312       
1841194   -         360       
1841627   +         360       
1841727   -         378       
1842363   -         327       
1842381   +         312       
1842710   +         312       
1842863   -         312       
1843231   -         333       
1843296   +         390       
1843676   -         357       
1843787   +         387       
1844321   +         354       
1844334   -         351       
1844904   -         318       
1845588   +         315       
1845666   -         345       
1846104   +         351       
1846476   +         405       
1848393   -         303       
1848396   +         372       
1848898   -         312       
1849338   +         420       
1849663   -         486       
1849985   +         384       
1850178   -         315       
1850589   +         390       
1850835   -         318       
1851342   -         561       
1852105   -         339       
1852399   +         333       
1852995   -         417       
1853549   +         327       
1853739   -         567       
1854127   +         312       
1854518   -         330       
1854728   +         390       
1854954   -         345       
1855479   +         330       
1855679   -         333       
1855845   +         318       
1856287   -         312       
1856365   +         336       
1856672   -         396       
1856740   +         387       
1857161   +         312       
1857282   -         315       
1857548   +         306       
1857924   +         324       
1858365   +         366       
1858445   -         327       
1859067   -         345       
1859566   +         309       
1859642   -         339       
1860047   -         303       
1860175   +         303       
1860473   -         369       
1860877   -         336       
1861004   +         360       
1861659   -         318       
1862125   +         336       
1862550   +         363       
1863181   +         306       
1863272   -         339       
1863672   +         381       
1863847   -         306       
1864280   -         396       
1864736   +         309       
1865262   -         303       
1865365   +         363       
1865966   -         384       
1866458   +         318       
1866580   -         489       
1866844   +         306       
1867226   +         609       
1867861   +         423       
1867875   -         321       
1868267   -         351       
1868576   +         303       
1868744   -         318       
1869243   -         444       
1869340   +         336       
1869686   +         414       
1869781   -         345       
1870290   -         378       
1870482   +         303       
1870862   -         345       
1871350   -         351       
1871933   +         396       
1872194   -         333       
1872534   -         315       
1873266   -         330       
1873426   +         309       
1874186   -         324       
1874892   -         351       
1875319   -         387       
1875452   +         360       
1875768   -         357       
1875900   +         306       
1876295   -         459       
1877060   -         345       
1877227   +         402       
1877461   -         321       
1877935   +         435       
1878290   -         309       
1878598   +         366       
1878710   -         324       
1879441   -         312       
1879656   +         342       
1879790   -         336       
1880143   -         324       
1880487   +         471       
1880540   -         339       
1881080   +         303       
1881409   +         393       
1881567   -         312       
1881904   -         387       
1882421   +         312       
1882936   -         378       
1882956   +         387       
1883519   -         321       
1883604   +         318       
1884109   -         312       
1884514   -         345       
1884858   +         339       
1884880   -         336       
1885215   +         336       
1885537   -         306       
1885973   -         381       
1886144   +         342       
1886376   -         342       
1886717   +         339       
1886841   -         315       
1887546   +         321       
1887685   -         336       
